model,dataset,target,horizon,store,product,lookback,units1,dropout,lr,batch,activation,smape,mase,rmse,rmsle
LSTM-EntityEmbedding-GAO,retail_inventory_daily,Units Sold,14,S001,P0002,30,16,0.3,0.001,32,sigmoid,29.06137,0.6416432,34.10390853881836,0.42849424481391907
LSTM-EntityEmbedding-GAO,retail_inventory_daily,Units Sold,14,S001,P0003,30,16,0.3,0.001,32,sigmoid,33.634075,0.67771417,46.254276275634766,0.5407233238220215
LSTM-EntityEmbedding-GAO,retail_inventory_daily,Units Sold,14,S001,P0004,30,16,0.3,0.001,32,sigmoid,44.464657,0.88609654,39.19038772583008,0.7490986585617065
LSTM-EntityEmbedding-GAO,retail_inventory_daily,Units Sold,14,S001,P0005,30,16,0.3,0.001,32,sigmoid,35.749046,0.70477045,41.48735427856445,0.44855737686157227
LSTM-EntityEmbedding-GAO,retail_inventory_daily,Units Sold,14,S001,P0006,30,16,0.3,0.001,32,sigmoid,46.760002,0.73285073,44.0898551940918,0.9514702558517456
LSTM-EntityEmbedding-GAO,retail_inventory_daily,Units Sold,14,S001,P0007,30,16,0.3,0.001,32,sigmoid,43.631172,0.8277156,53.065528869628906,0.637697160243988
LSTM-EntityEmbedding-GAO,retail_inventory_daily,Units Sold,14,S001,P0008,30,16,0.3,0.001,32,sigmoid,33.671295,0.74417454,31.540037155151367,0.4541901648044586
LSTM-EntityEmbedding-GAO,retail_inventory_daily,Units Sold,14,S001,P0009,30,16,0.3,0.001,32,sigmoid,32.58908,0.8726249,46.37540054321289,0.42689278721809387
LSTM-EntityEmbedding-GAO,retail_inventory_daily,Units Sold,14,S001,P0010,30,16,0.3,0.001,32,sigmoid,34.50717,0.73161066,29.87961196899414,0.4707588851451874
LSTM-EntityEmbedding-GAO,retail_inventory_daily,Units Sold,14,S001,P0011,30,16,0.3,0.001,32,sigmoid,39.158337,0.7942301,32.259124755859375,0.531387984752655
LSTM-EntityEmbedding-GAO,retail_inventory_daily,Units Sold,14,S001,P0012,30,16,0.3,0.001,32,sigmoid,37.36361,0.7269253,43.92045211791992,0.5618056058883667
LSTM-EntityEmbedding-GAO,retail_inventory_daily,Units Sold,14,S001,P0013,30,16,0.3,0.001,32,sigmoid,44.938828,0.84031004,37.328826904296875,0.6734627485275269
LSTM-EntityEmbedding-GAO,retail_inventory_daily,Units Sold,14,S001,P0014,30,16,0.3,0.001,32,sigmoid,38.560173,0.7444158,43.793094635009766,0.5849155783653259
LSTM-EntityEmbedding-GAO,retail_inventory_daily,Units Sold,14,S001,P0015,30,16,0.3,0.001,32,sigmoid,41.924,0.81698614,36.23668670654297,0.6505144834518433
LSTM-EntityEmbedding-GAO,retail_inventory_daily,Units Sold,14,S001,P0016,30,16,0.3,0.001,32,sigmoid,38.411816,0.6249628,45.17106246948242,0.710978090763092
LSTM-EntityEmbedding-GAO,retail_inventory_daily,Units Sold,14,S001,P0017,30,16,0.3,0.001,32,sigmoid,45.284973,0.8543431,37.17181396484375,0.7544887065887451
LSTM-EntityEmbedding-GAO,retail_inventory_daily,Units Sold,14,S001,P0018,30,16,0.3,0.001,32,sigmoid,33.11274,0.76184136,37.58769607543945,0.440448522567749
LSTM-EntityEmbedding-GAO,retail_inventory_daily,Units Sold,14,S001,P0019,30,16,0.3,0.001,32,sigmoid,42.110435,0.9022262,30.10209083557129,0.5905276536941528
LSTM-EntityEmbedding-GAO,retail_inventory_daily,Units Sold,14,S001,P0020,30,16,0.3,0.001,32,sigmoid,45.14804,0.80115575,32.26518249511719,0.6342805027961731
LSTM-EntityEmbedding-GAO,retail_inventory_daily,Units Sold,14,S002,P0001,30,16,0.3,0.001,32,sigmoid,41.223083,0.7808154,50.50810623168945,0.5625121593475342
LSTM-EntityEmbedding-GAO,retail_inventory_daily,Units Sold,14,S002,P0002,30,16,0.3,0.001,32,sigmoid,45.39974,0.788068,42.11146926879883,0.65492844581604
LSTM-EntityEmbedding-GAO,retail_inventory_daily,Units Sold,14,S002,P0003,30,16,0.3,0.001,32,sigmoid,40.16317,0.732726,42.78507614135742,0.6401740312576294
LSTM-EntityEmbedding-GAO,retail_inventory_daily,Units Sold,14,S002,P0004,30,16,0.3,0.001,32,sigmoid,32.874058,0.6660918,40.74980545043945,0.42734667658805847
LSTM-EntityEmbedding-GAO,retail_inventory_daily,Units Sold,14,S002,P0005,30,16,0.3,0.001,32,sigmoid,38.61154,0.7785278,39.179683685302734,0.5252348780632019
LSTM-EntityEmbedding-GAO,retail_inventory_daily,Units Sold,14,S002,P0006,30,16,0.3,0.001,32,sigmoid,29.402357,0.7455353,33.31566619873047,0.41819506883621216
LSTM-EntityEmbedding-GAO,retail_inventory_daily,Units Sold,14,S002,P0007,30,16,0.3,0.001,32,sigmoid,49.357475,0.8896247,43.51517105102539,0.7433470487594604
LSTM-EntityEmbedding-GAO,retail_inventory_daily,Units Sold,14,S002,P0008,30,16,0.3,0.001,32,sigmoid,30.68719,0.6645537,34.8817024230957,0.4345054030418396
LSTM-EntityEmbedding-GAO,retail_inventory_daily,Units Sold,14,S002,P0009,30,16,0.3,0.001,32,sigmoid,34.883255,0.72232014,41.461639404296875,0.4587348699569702
LSTM-EntityEmbedding-GAO,retail_inventory_daily,Units Sold,14,S002,P0010,30,16,0.3,0.001,32,sigmoid,28.71496,0.72927064,34.07065200805664,0.34649378061294556
LSTM-EntityEmbedding-GAO,retail_inventory_daily,Units Sold,14,S002,P0011,30,16,0.3,0.001,32,sigmoid,41.120895,0.7200883,47.08439254760742,0.8922742605209351
LSTM-EntityEmbedding-GAO,retail_inventory_daily,Units Sold,14,S002,P0012,30,16,0.3,0.001,32,sigmoid,34.88574,0.6914959,36.11090850830078,0.49290043115615845
LSTM-EntityEmbedding-GAO,retail_inventory_daily,Units Sold,14,S002,P0013,30,16,0.3,0.001,32,sigmoid,42.551563,0.68198806,45.381675720214844,0.6840127110481262
LSTM-EntityEmbedding-GAO,retail_inventory_daily,Units Sold,14,S002,P0014,30,16,0.3,0.001,32,sigmoid,47.68217,0.92195874,43.7967529296875,0.8322103023529053
