model,store,product,horizon,smape,mase,rmse,rmsle
SARIMAX,S004,P0018,14,54.6313,1.1131,35.2145,0.7315
SARIMAX,S004,P0019,14,42.858,1.5266,52.9356,0.57
SARIMAX,S004,P0020,14,49.4521,1.1093,37.7515,0.7802
SARIMAX,S005,P0001,14,47.0097,0.9265,49.113,0.7692
SARIMAX,S005,P0002,14,51.7516,1.0095,64.2457,0.6586
SARIMAX,S005,P0003,14,41.2672,0.6667,34.5079,0.6533
SARIMAX,S005,P0004,14,64.9917,1.0814,70.5971,0.8844
SARIMAX,S005,P0005,14,70.8132,1.382,69.1952,2.1322
SARIMAX,S005,P0006,14,46.1113,0.7188,68.5747,0.7897
SARIMAX,S005,P0007,14,47.4545,1.1116,59.4889,0.6757
SARIMAX,S005,P0008,14,42.7892,1.2437,48.6457,0.5363
SARIMAX,S005,P0009,14,45.9373,0.9218,60.2125,0.9151
SARIMAX,S005,P0010,14,53.4716,0.9187,74.7483,0.7112
SARIMAX,S005,P0011,14,55.0058,1.604,62.6167,0.9253
SARIMAX,S005,P0012,14,48.4146,0.8987,39.7462,0.6784
SARIMAX,S005,P0013,14,60.7086,1.0376,71.6748,0.7569
SARIMAX,S005,P0014,14,43.7736,0.8373,34.3156,0.6981
SARIMAX,S005,P0015,14,38.3356,0.8986,46.0955,0.6991
SARIMAX,S005,P0016,14,52.5342,0.7781,51.4558,0.9818
SARIMAX,S005,P0017,14,54.1465,0.9,45.8991,0.7594
SARIMAX,S005,P0018,14,36.2544,0.7063,43.1372,0.4662
SARIMAX,S005,P0019,14,55.2715,1.1344,40.8742,0.7202
SARIMAX,S005,P0020,14,57.1693,1.0737,42.1382,0.7623
SARIMAX,S001,P0001,28,55.1807,0.8221,53.6643,0.6828
SARIMAX,S001,P0002,28,37.3547,0.7263,41.0572,0.4704
SARIMAX,S001,P0003,28,62.8666,0.9443,72.6308,0.8369
SARIMAX,S001,P0004,28,46.6518,0.9205,41.3085,0.7527
SARIMAX,S001,P0005,28,35.9031,0.8368,41.1034,0.425
SARIMAX,S001,P0006,28,41.5106,0.5618,41.3457,0.8428
SARIMAX,S001,P0007,28,75.36,0.9736,75.2765,1.1074
SARIMAX,S001,P0008,28,51.5275,1.2052,47.8783,0.6461
SARIMAX,S001,P0009,28,36.0046,0.8374,48.0228,0.4619
SARIMAX,S001,P0010,28,35.1809,0.5862,28.7717,0.4555
SARIMAX,S001,P0011,28,48.7348,1.0598,37.2723,0.6245
SARIMAX,S001,P0012,28,45.5371,0.7489,50.4289,0.5954
SARIMAX,S001,P0013,28,47.104,1.2593,38.7627,0.6294
SARIMAX,S001,P0014,28,38.9937,0.7066,47.119,0.5841
SARIMAX,S001,P0015,28,57.6545,1.2357,45.929,0.791
SARIMAX,S001,P0016,28,42.7407,0.7471,50.3572,0.7431
SARIMAX,S001,P0017,28,43.2639,0.7392,33.6988,0.6916
SARIMAX,S001,P0018,28,35.9232,0.6612,39.9863,0.4638
SARIMAX,S001,P0019,28,53.2505,0.8638,37.08,0.6677
SARIMAX,S001,P0020,28,49.1567,0.6328,35.0073,0.6205
SARIMAX,S002,P0001,28,75.5684,1.1751,76.6171,1.0288
SARIMAX,S002,P0002,28,73.5042,1.086,59.5143,1.0174
SARIMAX,S002,P0003,28,48.2267,0.7833,47.1617,0.669
SARIMAX,S002,P0004,28,63.7304,1.0621,62.3911,0.8552
SARIMAX,S002,P0005,28,55.5097,0.7948,52.7746,0.7028
SARIMAX,S002,P0006,28,36.0748,0.6536,39.3947,0.4782
SARIMAX,S002,P0007,28,52.6734,0.9213,48.4548,0.7574
SARIMAX,S002,P0008,28,43.6377,0.8801,52.588,0.5488
SARIMAX,S002,P0009,28,57.5311,1.3535,89.2607,0.7534
SARIMAX,S002,P0010,28,34.4963,0.629,43.4866,0.43
