model,dataset,target,horizon,store,product,lookback,lstm_units,dropout,lr,batch_size,activation,smape,mase,rmse,rmsle
LSTM-EntityEmbedding-HBO,retail_inventory_daily,Units Sold,7,S005,P0008,30,128,0.25624440198425424,0.000225332406953683,256,relu,30.352665,0.6972308,34.3522834777832,0.405920147895813
LSTM-EntityEmbedding-HBO,retail_inventory_daily,Units Sold,7,S005,P0009,30,128,0.25624440198425424,0.000225332406953683,256,relu,38.074944,0.7575669,44.892547607421875,0.812347412109375
LSTM-EntityEmbedding-HBO,retail_inventory_daily,Units Sold,7,S005,P0010,30,128,0.25624440198425424,0.000225332406953683,256,relu,37.196926,0.7055446,45.972286224365234,0.5045452117919922
LSTM-EntityEmbedding-HBO,retail_inventory_daily,Units Sold,7,S005,P0011,30,128,0.25624440198425424,0.000225332406953683,256,relu,42.26256,0.88724226,43.25375747680664,0.7579612135887146
LSTM-EntityEmbedding-HBO,retail_inventory_daily,Units Sold,7,S005,P0012,30,128,0.25624440198425424,0.000225332406953683,256,relu,37.94401,0.8237627,33.83439254760742,0.5735263228416443
LSTM-EntityEmbedding-HBO,retail_inventory_daily,Units Sold,7,S005,P0013,30,128,0.25624440198425424,0.000225332406953683,256,relu,40.290947,0.7270204,46.48808670043945,0.7055139541625977
LSTM-EntityEmbedding-HBO,retail_inventory_daily,Units Sold,7,S005,P0014,30,128,0.25624440198425424,0.000225332406953683,256,relu,37.965347,0.7544765,30.900604248046875,0.6638237833976746
LSTM-EntityEmbedding-HBO,retail_inventory_daily,Units Sold,7,S005,P0015,30,128,0.25624440198425424,0.000225332406953683,256,relu,37.25577,0.72280055,42.56998825073242,0.7050719857215881
LSTM-EntityEmbedding-HBO,retail_inventory_daily,Units Sold,7,S005,P0016,30,128,0.25624440198425424,0.000225332406953683,256,relu,51.13827,0.85500413,45.11967468261719,0.9185379147529602
LSTM-EntityEmbedding-HBO,retail_inventory_daily,Units Sold,7,S005,P0017,30,128,0.25624440198425424,0.000225332406953683,256,relu,43.6574,0.81326926,38.311588287353516,0.7044875025749207
LSTM-EntityEmbedding-HBO,retail_inventory_daily,Units Sold,7,S005,P0018,30,128,0.25624440198425424,0.000225332406953683,256,relu,30.179176,0.70186675,34.56061553955078,0.3721636235713959
LSTM-EntityEmbedding-HBO,retail_inventory_daily,Units Sold,7,S005,P0019,30,128,0.25624440198425424,0.000225332406953683,256,relu,40.2796,0.8104117,30.666040420532227,0.53814297914505
LSTM-EntityEmbedding-HBO,retail_inventory_daily,Units Sold,7,S005,P0020,30,128,0.25624440198425424,0.000225332406953683,256,relu,40.045734,0.78244394,33.72468948364258,0.6238426566123962
LSTM-EntityEmbedding-HBO,retail_inventory_daily,Units Sold,14,S001,P0001,30,128,0.25624440198425424,0.000225332406953683,256,relu,36.67682,0.88359237,39.94919967651367,0.4846552610397339
LSTM-EntityEmbedding-HBO,retail_inventory_daily,Units Sold,14,S001,P0002,30,128,0.25624440198425424,0.000225332406953683,256,relu,29.234596,0.6481927,34.51118087768555,0.436833918094635
LSTM-EntityEmbedding-HBO,retail_inventory_daily,Units Sold,14,S001,P0003,30,128,0.25624440198425424,0.000225332406953683,256,relu,33.478626,0.67326427,45.63180160522461,0.5355759859085083
LSTM-EntityEmbedding-HBO,retail_inventory_daily,Units Sold,14,S001,P0004,30,128,0.25624440198425424,0.000225332406953683,256,relu,41.09002,0.8145796,36.84639358520508,0.7321222424507141
LSTM-EntityEmbedding-HBO,retail_inventory_daily,Units Sold,14,S001,P0005,30,128,0.25624440198425424,0.000225332406953683,256,relu,36.151485,0.7150154,41.71855545043945,0.4531319737434387
LSTM-EntityEmbedding-HBO,retail_inventory_daily,Units Sold,14,S001,P0006,30,128,0.25624440198425424,0.000225332406953683,256,relu,46.945198,0.72988856,43.95274353027344,0.9452401995658875
LSTM-EntityEmbedding-HBO,retail_inventory_daily,Units Sold,14,S001,P0007,30,128,0.25624440198425424,0.000225332406953683,256,relu,44.226006,0.8439386,53.9411735534668,0.6502970457077026
LSTM-EntityEmbedding-HBO,retail_inventory_daily,Units Sold,14,S001,P0008,30,128,0.25624440198425424,0.000225332406953683,256,relu,32.988556,0.7277128,30.9184627532959,0.444635272026062
LSTM-EntityEmbedding-HBO,retail_inventory_daily,Units Sold,14,S001,P0009,30,128,0.25624440198425424,0.000225332406953683,256,relu,32.781483,0.8793683,46.314056396484375,0.43117469549179077
LSTM-EntityEmbedding-HBO,retail_inventory_daily,Units Sold,14,S001,P0010,30,128,0.25624440198425424,0.000225332406953683,256,relu,34.41813,0.72706825,29.724559783935547,0.4629512131214142
